Cluster ID,Cluster,Target page,Dominant intent,Opportunity (1-5),Difficulty (1-5),Strategic fit (1-5),Priority (Opp+Fit-Diff),Notes
C1,Benagil cave boat tour,/tours/<benagil-speedboat> (PK 717720),Commercial/Transactional,5,5,5,5,The headline Algarve search. OTAs (GetYourGuide/Viator/Civitatis) + established operators own page 1. Site ~pos 36. Long game - needs content hub + off-page authority before it moves. Still the #1 strategic target.
C2,"Boat tour Portimao / Algarve (generic, multilingual)",/tours/ listing (+ consider a dedicated 'Boat tours from Portimao' landing page),Commercial,5,3,5,7,"BIGGEST measured demand is German ('bootstour portimao' 1639 impr, pos 4.8) and French ('bateau portimao' 1578 impr, pos 5.8) - far above English (~90 impr). Already p1 for DE/FR/ES but ~0.3% CTR. Quickest near-term win = fix CTR (meta/hreflang fixes shipped 2026-05-12 help) + strengthen the landing page + localized copy. No German locale exists - single largest untapped market."
C3,Private yacht / boat charter Algarve & Portimao,/tours/<cranchi-yacht> (720028) + /tours/<sail-yacht> (717754),Transactional (high value),3,4,5,4,"Lower volume, far higher revenue per booking. 'private yacht algarve' / 'yacht charter algarve' / 'private boat to benagil' / 'luxury yacht algarve'. Competitive (charter brokers + OTAs). Worth a dedicated 'private Benagil cave tour by yacht' angle."
C4,Sailing yacht & sunset cruise Algarve,/tours/<sail-yacht> (717754) + sunset variants; blog 'sunset-cruises-algarve-summer-guide',Commercial,3,3,4,4,'sailing trip algarve' / 'sunset cruise algarve' / 'sunset sailing algarve'. 'algarve sunset cruise' already ~pos 7.6 (low impr). Seasonal spike May-Sep. Supporting blog post exists - interlink it to the sail-yacht page.
C5,Reef / boat fishing Portimao & Algarve,/tours/<reef-fishing> (718024); blogs reef-fishing-* (3 posts),Commercial,2,2,4,4,"Niche, much less competitive than caves. 'reef fishing algarve' / 'fishing trip portimao' / 'fishing charter algarve' / 'half day fishing algarve'. Low volume but winnable; 3 fishing blog posts + skipper-byline E-E-A-T can carry it. Good 'easy ranking' target."
C6,Benagil + Alvor / Ria de Alvor nature reserve,/tours/<benagil-and-alvor> (PK 717728) - currently barely ranks,Commercial + Info,2,2,3,3,"We sell this exact tour but it doesn't rank. 'alvor nature reserve' pos ~10, 'alvor caves' pos ~10, 'alvor boat trips' pos ~39. Underexploited - strengthen the product page, add an Alvor section to the cave-comparison content."
C7,Benagil cave - how to visit / complete guide  [PILLAR],blog 'benagil-cave-tour-complete-guide' + 'best-time-visit-benagil-caves' -> funnels to C1,Informational,4,3,5,6,'how to get to benagil cave' / 'how to visit benagil' / 'can you swim in benagil cave' (no - illegal since 2023) / 'benagil cave 2026' / 'benagil cave tickets'. 'best time to visit benagil caves' already ~pos 17. THIS is the hub/pillar page; informational long-tails are winnable far sooner than the commercial term and pass authority + clicks to C1.
C8,Algarve sea caves - Benagil vs the others,blog 'benagil-vs-other-sea-caves-algarve',Informational,3,3,4,4,"'algarve caves' pos ~31 / 'algarve cave tours' pos ~19 / 'benagil vs marinha' / 'best sea caves algarve' / 'alvor caves'. Have the post - needs depth, schema (FAQ + ItemList of caves), strong internal links to C1/C3/C6."
C9,Dolphin watching Algarve & Portimao,blog 'dolphin-watching-algarve-species-seasons' + 'marine-life-algarve-coast-spotters-guide'; add a dolphin section/anchor on the speedboat page,Info -> Commercial,3,2,4,5,"CLOSE TO PAGE 1 ALREADY: 'best time to see dolphins in algarve' ~pos 8.7, 'portimao dolphin watching' ~pos 11.6, 'portimao dolphin tour' ~pos 6.8. Best 'almost there' opportunity - modest content + interlink work could push these to page 1. Surface 'dolphins often spotted' as a sub-feature of the speedboat tour."
C10,Best time to visit the Algarve / for boat tours,blog 'best-time-visit-algarve-boat-tours' + 'algarve-in-spring-best-kept-secret',Informational,3,3,3,3,"'best time to visit algarve' / 'algarve in april/may' / 'algarve weather'. 'algarve en avril' (FR) ~pos 9. Evergreen, big seasonality. Annual title refresh ('...in 2026') + interlink to all tour pages."
C11,What to pack / what to expect on an Algarve boat tour,blog 'what-to-pack-algarve-boat-tour'; supports conversion on all tour pages,Informational,2,2,3,3,"'what to wear on a boat tour' / 'what to bring'. Low volume; main value is as a conversion-support / internal-link node, not traffic."
C12,Portuguese coastal cuisine / what to eat after a boat tour,blog 'portuguese-coastal-cuisine-algarve' -> funnels to Restaurant Allgarbe + meal-included tours,Informational,2,2,3,3,"Niche, but ties the food product (Allgarbe) and the 'Benagil + meal @ Allgarbe' tours into the content graph."
C13,Things to do in Portimao,NEW page - a 'Things to do in Portimao' guide/hub linking every product,Informational,3,3,3,3,"'things to do in portimao' / 'portimao what to see' (pos ~7.5) / 'actividades en portimao' (ES, pos ~8.2). No page owns this today. A local-authority hub page catches a steady info stream and distributes it to all products + the blog. Good fit for AEO/GEO ('what to do in Portimao' style queries)."
C14,Arade River & Silves by boat,"blog (NEW, info only) - product discontinued; funnel to /tours/",Informational,2,3,1,0,"'arade river' / 'rio arade' / 'silves river cruise' / 'onde nasce o rio arade' - ~300 combined impr/90d at pos 7-12. We no longer run this trip, so strategic fit is low; option = a short info post (river + Silves castle + 'tours that pass the Arade estuary') to recover the demand and route it onward. Lower priority - note in the audit."
C15,Travel agency / tour operator Portimao-Algarve,homepage / about page,Navigational-ish,1,2,2,1,'agencia viagens portimao' / 'agence de voyage portugal algarve' / 'algarve tour operator'. Tiny; mostly handled by brand + LocalBusiness schema. No content action.
